Datetime,Volume,Open,High,Low,Close,SMA5,SMA10,BBANDS+σ,BBANDS-σ,Rate
2020-12-07 07:45,76,73.402,73.420,73.398,73.402,99.97057300890984,99.95654069371406,100.01640338723483,99.89667800019329,0.0
2020-12-07 07:50,91,73.403,73.412,73.400,73.406,99.98419747704546,99.95640683322887,100.02288864586633,99.88992502059142,4.087026415814222
2020-12-07 07:55,203,73.405,73.406,73.384,73.387,100.01553408641857,99.985692288825,100.05198156782915,99.91940300982087,-24.521490361692912
2020-12-07 08:00,349,73.388,73.428,73.388,73.424,99.97276095009805,99.94429614295053,100.01836883141266,99.87022345448844,49.05434130920772
2020-12-07 08:05,191,73.424,73.471,73.420,73.462,99.93765484195909,99.90893250932457,99.99711322539898,99.82075179325014,51.75419481368041
2020-12-07 08:10,174,73.462,73.462,73.418,73.434,99.98447585587057,99.95574257156088,100.04592610064293,99.86555904247882,-38.114943780465815
2020-12-07 08:15,272,73.434,73.434,73.424,73.43,99.99645921285575,99.9739888329021,100.04397687219029,99.9040007936139,-5.4470681155740905
2020-12-07 08:20,279,73.429,73.432,73.419,73.42,100.01906837374013,99.99482429855627,100.05246619500876,99.9371824021038,-12.256737801141703
2020-12-07 08:25,216,73.42,73.420,73.399,73.418,100.0201585442262,100.00054482551965,100.05519329640885,99.94589635463045,-2.7240533914401235
2020-12-07 08:30,279,73.418,73.427,73.377,73.38,100.0496047969474,100.04946852003273,100.11133343620064,99.98760360386483,-51.7584243646121
2020-12-07 08:35,265,73.38,73.385,73.360,73.365,100.05125059633342,100.0648810740817,100.13925103892889,99.99051110923448,-20.44153720359849
2020-12-07 08:40,207,73.366,73.392,73.364,73.372,100.02589543695144,100.05070053971545,100.13216426563227,99.96923681379864,8.17817517651259
2020-12-07 08:45,196,73.37,73.386,73.360,73.385,99.99863732370375,100.03270423110993,100.11457375024793,99.95083471197191,20.444323292899778
2020-12-07 08:50,100,73.385,73.397,73.376,73.378,99.99727438741857,100.03597808607488,100.12020083771624,99.9517553344335,-9.538734073727602
2020-12-07 08:55,197,73.378,73.378,73.360,73.365,100.01090438219862,100.04048251891233,100.11179011252493,99.96917492529974,-17.71648177928702
2020-12-07 09:00,367,73.366,73.367,73.332,73.338,100.04036106793204,100.0642231857973,100.13935909869723,99.9890872728974,-38.16481749039855
2020-12-07 09:05,332,73.336,73.338,73.290,73.304,100.06820910182255,100.09344646949694,100.18212669623814,100.00476624275572,-43.63477691719821
2020-12-07 09:10,320,73.303,73.320,73.294,73.317,100.03191619951717,100.06165009479389,100.14931484767264,99.97398534191512,19.098809052829754
2020-12-07 09:15,219,73.314,73.321,73.297,73.311,100.02182482847049,100.05524409706597,100.13566764580024,99.97482054833165,-4.091987887696624
2020-12-07 09:20,361,73.31,73.340,73.310,73.311,100.0070930692529,100.04583213978808,100.12786780566903,99.96379647390712,1.3640703860384322
2020-12-07 09:25,210,73.312,73.356,73.310,73.356,99.95065161677303,99.98323245542294,100.06387258582947,99.9025923250164,60.017459624613885
2020-12-07 09:30,378,73.355,73.355,73.333,73.342,99.98009326170545,99.9982274822067,100.07467990985424,99.92177505455918,-17.7220366709907
2020-12-07 09:35,299,73.342,73.342,73.312,73.322,100.0087286216961,100.01691170453621,100.08288808260872,99.9509353264637,-27.269504513097573
2020-12-07 09:40,191,73.322,73.331,73.308,73.312,100.02264295067658,100.02155172413798,100.0762193415514,99.96688410672456,-13.63847140013245
2020-12-07 09:45,218,73.312,73.326,73.309,73.322,100.0120018548321,100.00204577071005,100.04500587253715,99.95908566888299,13.64033173287472
2020-12-07 09:50,307,73.324,73.330,73.298,73.33,99.99399972726033,99.9900450020456,100.03146283483363,99.94862716925758,8.182859636681343
2020-12-07 09:55,360,73.332,73.334,73.306,73.32,100.00163666121114,100.00586470267328,100.04383951370335,99.9678898916432,-16.363933889707706
2020-12-07 10:00,306,73.32,73.341,73.312,73.337,99.98254632722907,99.98540982041811,100.0240361228722,99.94678351796401,23.1860338243455
2020-12-07 10:05,278,73.336,73.337,73.308,73.318,100.0100930194495,100.01227529392513,100.0492373154887,99.97531327236156,-24.544562015927625
2020-12-07 10:10,293,73.318,73.322,73.298,73.313,100.01445855441733,100.01936900686104,100.05572044213076,99.98301757159132,-6.819607736156814
2020-12-07 10:15,259,73.312,73.312,73.274,73.279,100.04694387205065,100.05526822145502,100.09991951847034,100.01061692443973,-45.01309471846526
2020-12-07 10:20,272,73.278,73.284,73.252,73.256,100.0608823850606,100.07494266681232,100.13875408790189,100.01113124572277,-30.022653456706742
2020-12-07 10:25,328,73.257,73.258,73.235,73.245,100.0507884497235,100.07945934876103,100.16178295681463,99.99713574070746,-16.380687169827393
2020-12-07 10:30,399,73.244,73.272,73.244,73.264,100.01010045861543,100.04695348329334,100.13464257017735,99.95926439640934,27.305990934405575
2020-12-07 10:35,302,73.262,73.270,73.229,73.238,100.02512356973156,100.07100139271967,100.16833521110571,99.97366757433365,-32.759138434660414
2020-12-07 10:40,370,73.238,73.244,73.213,73.235,100.01720488837304,100.06212876356938,100.16144809256495,99.96280943457381,-4.096234195363219
