Datetime,SMA2,RSI,BBANDS+σ,BBANDS-σ,MACD,class
2021-02-02 04:00,0.10707455017440866,0.25348606404310237,1002.1212477003185,999.61611104057,-0.0012799445407202321,-1
2021-02-02 05:00,0.26749139699523095,0.21422123918519217,1002.9880501667988,999.8505555025099,-0.0015191646318695833,-1
2021-02-02 06:00,0.1155201056591146,0.21006263819777066,1003.1574568349089,999.5406961868799,-0.0015771489254178329,-1
2021-02-02 07:00,-0.13003539370608297,0.2813268844546942,1002.6250644744781,998.8757846901807,-0.0013197003763690948,1
2021-02-02 08:00,0.011954041289850878,0.26914715228777497,1002.5442786630596,998.9062562019203,-0.001201104314091037,-1
2021-02-02 09:00,-0.017082406504295492,0.2786527562810182,1001.8510297518608,998.992692104327,-0.0010597182332927882,1
2021-02-02 10:00,-0.4003008029806753,0.4204683148949855,1000.2529643186587,998.0536985604876,-0.0004724018969731404,1
2021-02-02 11:00,-0.19388562143050436,0.43727420034670994,1000.2353082927577,997.7971164636621,-0.00011369340025373869,1
2021-02-02 12:00,-0.16451680292334064,0.46472692972279744,1000.1498280104984,997.3894683228953,0.00017101422754468588,1
2021-02-02 13:00,0.005632591190369165,0.44123673818439524,1000.572372510645,997.5375904143373,0.00021780246169984585,-1
2021-02-02 14:00,-0.06910484910985955,0.46295885857788166,1000.6349358196082,997.3145424803515,0.00031126326654159814,1
2021-02-02 15:00,0.13212216408169805,0.4012510196224072,1001.1419516749764,998.0485042261741,0.0001531091199378356,-1
2021-02-02 16:00,0.13349385970856065,0.3693459587126346,1001.3124393126211,998.6875606873793,-3.167178909084138e-05,-1
2021-02-02 17:00,-0.06860270125365539,0.4120007622577054,1000.9697882348938,998.5915426052843,2.126769173639149e-05,1
2021-02-02 18:00,0.33247010946922895,0.3032714482512205,1001.9602552402154,999.7931330642114,-0.000377014302543075,-1
2021-02-02 19:00,0.7676033671795031,0.1961418593627136,1004.626811826486,1000.724438143838,-0.0013142495955504982,-1
2021-02-02 20:00,0.34832844407789415,0.1857811432499115,1005.2537914537864,1000.0134493796,-0.001773861142215414,-1
2021-02-02 21:00,-0.2424928657431989,0.29956227523463536,1004.0426344778289,998.6079222023334,-0.0014594227443731219,1
2021-02-02 22:00,-0.13879416059720145,0.3157853356253604,1003.5587857404269,998.2580161190677,-0.0011739209737168233,1
2021-02-02 23:00,0.08553553428260521,0.2912326051264145,1003.6315500635817,998.4485537043328,-0.0011410155239487089,-1
2021-02-03 00:00,0.08388745776064133,0.2809125686066623,1003.2741035033705,998.5342262043382,-0.0011317841184884363,-1
2021-02-03 01:00,0.2839125679871418,0.23724472677256034,1003.6228991265478,999.0576372973983,-0.001371941715101343,-1
2021-02-03 02:00,0.094646479205515,0.2372447267725604,1003.1271117280489,998.94226872446,-0.001406784373014042,-1
2021-02-03 03:00,0.07377842654126195,0.22978661795852406,1002.2894374647407,999.3289058710733,-0.0013985068611972024,-1
2021-02-03 04:00,0.0034800736018732706,0.239573443519934,1001.5565011416803,999.456878638226,-0.0012960335924936143,1
2021-02-03 05:00,-0.27047403281421367,0.35064472014463377,1000.7936286551986,998.6684519852415,-0.0008594270433726427,1
2021-02-03 06:00,0.09712104705675104,0.30339001216227474,1001.3522686807879,999.2556051853848,-0.000841519497629583,-1
2021-02-03 07:00,0.46820357374303245,0.22442781774492102,1002.7107516851574,1000.0583742252695,-0.0013062255952495142,-1
