Datetime,Volume,Open,High,Low,Close,SMA5,SMA10,BBANDS+σ,BBANDS-σ,Rate,class
2012-03-26 06:00,20965.0,67.358,68.272,67.288,68.188,0.9887927494573825,0.9972429166422246,1.0175503620583946,0.9769354712260546,1.2322218593188607,1
2012-03-27 06:00,21714.0,68.19,68.556,68.056,68.255,0.9920738407442676,0.9954904402607869,1.0145202243899991,0.9764606561315747,0.09532189470596529,-1
2012-03-28 06:00,26586.0,68.25,68.296,67.412,67.71,1.0010279131590607,1.001908137645843,1.0192501377413061,0.9845661375503798,-0.7912087912088004,-1
2012-03-29 06:00,22921.0,67.713,67.888,66.594,67.397,1.0057213229075472,1.004377049423565,1.0188095425455754,0.9899445563015549,-0.4666755275943886,-1
2012-03-30 06:00,25613.0,67.394,67.942,66.852,67.819,1.000808033147053,0.99726182928088,1.0099023613254077,0.9846212972363523,0.6306199364928586,-1
2012-03-31 06:00,1.0,67.819,67.819,67.819,67.819,0.9997198425220069,0.9969462834898775,1.0091319251214015,0.9847606418583535,0.0,-1
2012-04-01 06:00,1032.0,68.069,68.447,68.069,68.393,0.9917330720980215,0.990902577749185,1.0018923301961153,0.9799128253022547,0.47598760081681535,-1
2012-04-02 06:00,24932.0,68.398,68.446,67.317,67.581,1.0032671904825319,1.0031029431349048,1.013745466867499,0.9924604194023106,-1.1944793707418244,-1
2012-04-03 06:00,24193.0,67.583,67.918,67.264,67.815,1.0010381184103812,1.000280174002802,1.010097263104895,0.990463084900709,0.3432815944838189,-1
2012-04-04 06:00,27482.0,67.813,67.961,66.793,67.186,1.0085255856874942,1.0093814187479535,1.0201267325153216,0.9986361049805855,-0.924601477592785,-1
2012-04-05 06:00,21589.0,67.183,67.404,66.556,67.216,1.006281242561295,1.007484825041657,1.0187394452975818,0.9962302047857322,0.049119568938551475,-1
2012-04-06 06:00,14064.0,67.214,67.494,66.456,66.903,1.0065348340134226,1.0101774210424048,1.022234519165599,0.9981203229192105,-0.46270122295949184,-1
2012-04-08 06:00,216.0,66.811,66.811,66.570,66.667,1.007355963220184,1.012188939055305,1.0267094689194016,0.9976684091912084,-0.21553337025340952,-1
2012-04-09 06:00,13065.0,66.674,67.249,66.406,66.953,1.0004779472167045,1.0072020671217123,1.022414729391759,0.9919894048516658,0.41845397006328755,-1
2012-04-10 06:00,28064.0,66.955,67.346,65.602,65.746,1.0144647583122928,1.0225397742828464,1.043768312883872,1.0013112356818206,-1.8056903890672888,-1
2012-04-11 06:00,22056.0,65.749,66.662,65.668,66.153,1.0050095989599868,1.0137302918990827,1.0359434676694046,0.9915171161287606,0.6144580145705799,-1
2012-04-12 06:00,23788.0,66.155,67.002,66.117,66.959,0.9930793470631281,0.999386191550053,1.016878699208457,0.981893683891649,1.2153276396341954,1
2012-04-13 06:00,22523.0,66.961,67.494,66.537,66.583,0.9984350359701426,1.0035309313188052,1.0199903914561472,0.987071471181463,-0.5645076985110737,-1
2012-04-14 06:00,1.0,66.583,66.583,66.583,66.583,0.9973236411696679,1.0016806091645014,1.0148159911644252,0.9885452271645774,0.0,-1
2012-04-15 06:00,481.0,66.525,66.760,66.525,66.684,0.9986263571471418,0.99941065323016,1.011578848872952,0.9872424575873678,0.23900789176999898,-1
2012-04-16 06:00,27032.0,66.69,66.770,65.652,65.973,1.0088430115350218,1.0082973337577492,1.0204851720524728,0.9961094954630253,-1.0751237067026522,-1
2012-04-17 06:00,18154.0,65.968,66.540,65.550,66.375,1.0009732580037665,1.001395103578154,1.0129210468232501,0.9898691603330579,0.6169658016007707,-1
2012-04-18 06:00,20420.0,66.371,66.956,66.186,66.299,1.0012639707989561,1.0019879636193603,1.0134286061260291,0.9905473211126914,-0.10848111373941709,-1
2012-04-19 06:00,24594.0,66.297,66.864,66.184,66.401,0.9991777232270599,0.9996174756404268,1.009769499881538,0.9894654513993156,0.1568698432809919,-1
2012-04-20 06:00,16228.0,66.404,66.786,66.254,66.735,0.9943298119427587,0.9960965010863861,1.0044180510293519,0.9877749511434204,0.49846394795494714,-1
2012-04-22 06:00,325.0,66.755,66.783,66.590,66.626,0.9979167292048149,0.9984360459880522,1.0061957625875293,0.9906763293885752,-0.19324395176389889,-1
2012-04-23 06:00,17720.0,66.62,66.822,65.641,66.04,1.0057571168988493,1.0059039975772255,1.0134736576329972,0.9983343375214537,-0.8706094265986165,-1
2012-04-24 06:00,17358.0,66.043,66.256,65.600,66.122,1.0039744714315963,1.003959347872115,1.0118169742198604,0.9961017215243694,0.11961903608254246,-1
2012-04-25 06:00,19935.0,66.118,66.360,65.856,66.142,1.0028877264068217,1.0029890236158563,1.0108404231708825,0.9951376240608302,0.03629873861883437,-1
2012-04-26 06:00,18410.0,66.149,66.481,65.648,65.977,1.0030980493202177,1.0044257847431677,1.0120779350805658,0.9967736344057696,-0.2600190479069934,-1
2012-04-27 06:00,24524.0,65.97,66.248,65.410,66.001,1.0008393812214966,1.0041029681368459,1.0116564795441307,0.9965494567295611,0.046991056540860866,-1
2012-04-28 06:00,1.0,66.001,66.001,66.001,66.001,1.0007212011939213,1.0035363100559076,1.0113802194277661,0.9956924006840492,0.0,-1
2012-04-29 06:00,262.0,66.038,66.145,65.991,66.014,1.0001969279243799,1.0029069591298811,1.0109588417452937,0.9948550765144686,-0.036342711772011434,-1
2012-04-30 06:00,13819.0,66.005,66.192,65.092,65.315,1.0083686748832583,1.0119773405802646,1.0232032423802608,1.0007514387802683,-1.0453753503522427,-1
2012-05-01 06:00,13184.0,65.318,65.465,64.765,65.279,1.0067862559169107,1.0103049985447077,1.0217480474544884,0.998861949634927,-0.05970789062739441,-1
2012-05-02 06:00,19370.0,65.276,65.610,64.780,64.969,1.0084132432390835,1.0125752281857499,1.0250091929641638,1.0001412634073357,-0.47031068080152305,-1
2012-05-03 06:00,17750.0,64.966,64.983,64.089,64.124,1.015847420622544,1.0229305720167174,1.0425628256153943,1.0032983184180404,-1.2960625557984158,-1
2012-05-04 06:00,18368.0,64.126,64.292,63.378,63.542,1.0173711875609834,1.0282395895628085,1.0550035592730114,1.0014756198526058,-0.9107070455041685,-1
2012-05-06 06:00,726.0,63.595,63.605,63.201,63.311,1.0147525706433322,1.027519704316785,1.0589231842124622,0.996116224421108,-0.4465759886783535,-1
2012-05-07 06:00,16857.0,63.32,63.710,63.050,63.513,1.0059641333270355,1.0203722072646542,1.0530886591420143,0.9876557553872943,0.3048010107390996,-1
2012-05-08 06:00,18338.0,63.511,63.722,62.674,62.921,1.0089191208022759,1.025077478107468,1.059863040471236,0.9902919157437002,-0.9289729338224927,-1
2012-05-09 06:00,21856.0,62.923,62.984,62.172,62.449,1.0111803231436853,1.0271373440727634,1.0631729325463772,0.9911017555991495,-0.7533016544030064,-1
2012-05-10 06:00,21555.0,62.447,63.142,62.348,62.766,1.0036006755249658,1.0167750055762672,1.0486484435727441,0.9849015675797903,0.5108331865421806,-1
2012-05-11 06:00,20427.0,62.769,62.940,62.304,62.561,1.0044916161826059,1.0157046722398935,1.0453361935171985,0.9860731509625884,-0.33137376730551454,-1
2012-05-12 06:00,1.0,62.561,62.561,62.561,62.561,1.0014481865699076,1.0113601125301703,1.0357190407539145,0.9870011843064262,0.0,-1
2012-05-13 06:00,383.0,62.735,62.818,62.510,62.61,0.9996709790768248,1.0068008305382523,1.0237230564061726,0.9898786046703323,-0.1992508169283494,-1
2012-05-14 06:00,18111.0,62.605,62.656,61.866,62.0,1.008058064516129,1.01328064516129,1.028561295430043,0.9979999948925371,-0.9663764875009935,-1
2012-05-15 06:00,19668.0,62.003,62.281,61.630,61.687,1.0096746478188274,1.0154149172435032,1.0321830551194193,0.9986467793675871,-0.5096527587374845,-1
2012-05-16 06:00,23815.0,61.689,61.892,61.268,61.4,1.0106123778501628,1.017048859934853,1.0360113709262475,0.9980863489434585,-0.4684789832871362,-1
2012-05-17 06:00,24488.0,61.402,61.678,60.499,60.51,1.0186977359114195,1.0270451165096672,1.0506529139460383,1.0034373190732964,-1.4527214097260723,-1
2012-05-18 06:00,23875.0,60.514,60.712,59.502,59.781,1.0216557100081964,1.0343169234372118,1.0662513100141233,1.0023825368603003,-1.2112899494331957,-1
2012-05-19 06:00,1.0,59.781,59.781,59.781,59.781,1.0142319466051086,1.0298539669794744,1.0668492827834106,0.9928586511755383,0.0,-1
2012-05-20 06:00,288.0,59.856,59.978,59.757,59.932,1.0058199292531536,1.022530534605886,1.0600685946578694,0.9849924745539026,0.12697139802192012,-1
2012-05-21 06:00,22282.0,59.937,60.744,59.666,60.677,0.9910872323944822,1.0068708077195636,1.041487505537584,0.9722541099015432,1.2346296945125748,1
2012-05-22 06:00,22695.0,60.679,61.070,60.084,60.321,0.9963097428756154,1.0090996502047374,1.040506621632038,0.9776926787774366,-0.5899899470986735,-1
2012-05-23 06:00,29483.0,60.326,60.404,59.186,59.608,1.0076466246141458,1.0161337404375244,1.0434663351915623,0.9888011456834865,-1.1901999138016834,-1
2012-05-24 06:00,28424.0,59.611,60.178,59.392,59.977,1.0021008053087015,1.0065091618453734,1.0289586785465368,0.9840596451442098,0.6139806411568329,-1
