Datetime,Volume,Open,High,Low,Close,SMA5,SMA10,BBANDS+σ,BBANDS-σ,Rate,class
2016-05-06 06:00,112116.0,83.447,83.542,82.254,82.982,1.0081150128943626,1.0286339206092887,1.0779256335238876,0.9793422076946898,-0.5572399247426552,-1
2016-05-09 06:00,100125.0,82.656,83.796,82.656,83.572,0.9977600153161343,1.0164157851912123,1.0629137977274028,0.9699177726550218,1.108207510646531,1
2016-05-10 06:00,97528.0,83.568,84.660,83.479,84.639,0.9872351989035786,0.9992615697255403,1.0367305665718187,0.9617925728792618,1.2815910396323928,1
2016-05-11 06:00,97263.0,84.638,84.710,83.924,84.356,0.9934065152449142,0.9977417136896012,1.019438620819531,0.9760448065596715,-0.3331836763628756,-1
2016-05-12 06:00,109311.0,84.391,85.460,84.178,84.858,0.9908482405901622,0.9903568314124772,1.0068406959294234,0.973872966895531,0.5533765448922263,-1
2016-05-13 06:00,108429.0,84.878,84.980,83.878,83.955,1.0038234768626049,1.0001274492287535,1.0159554070344698,0.9842994914230372,-1.087443153702964,-1
2016-05-16 06:00,73345.0,83.909,84.594,83.712,84.546,0.9991105433728382,0.9926880041634142,1.0073022907693037,0.9780737175575246,0.7591557520647373,-1
2016-05-17 06:00,94895.0,84.547,85.226,84.140,84.552,0.9988338537231524,0.9935424354243544,1.008725729283749,0.9783591415649597,0.005913870391627927,-1
2016-05-18 06:00,115858.0,84.546,85.040,84.116,84.546,0.9993541977148532,0.9952641165755922,1.0092274222126787,0.9813008109385059,0.0,-1
2016-05-19 06:00,109819.0,84.532,84.670,83.493,83.975,1.0040464423935695,1.0026567430782976,1.015705723131243,0.989607763025352,-0.658922065016801,-1
2016-05-20 06:00,82700.0,83.975,84.336,83.844,83.982,1.0040270534162083,1.0037639017884787,1.0128935703667128,0.9946342332102447,0.00833581423043168,-1
2016-05-23 06:00,79120.0,84.0,84.036,83.086,83.116,1.0110472111266182,1.0136736609076475,1.025261381898007,1.0020859399172881,-1.0523809523809526,-1
2016-05-24 06:00,85035.0,83.105,84.014,82.906,83.802,1.0009808835111331,1.0043769838428678,1.0158289165910734,0.9929250510946623,0.8386980326093529,-1
2016-05-25 06:00,90360.0,83.772,84.668,83.748,84.638,0.9913112313617997,0.9947895744228363,1.0065565031634574,0.9830226456822154,1.0337582963281282,1
2016-05-26 06:00,94012.0,84.655,85.176,84.026,84.574,0.9934779010097666,0.9952065646652639,1.0062398645176467,0.9841732648128811,-0.0956824759317265,-1
2016-05-27 06:00,83793.0,84.57,84.781,83.902,84.658,0.9940891587327837,0.9950494932552154,1.0064317227300519,0.983667263780379,0.10405581175358647,-1
2016-05-30 06:00,67521.0,84.753,85.306,84.655,85.153,0.9930947823329772,0.9899780395288483,1.0028975018379984,0.9770585772196984,0.4719596946420843,-1
2016-05-31 06:00,94153.0,85.184,85.514,84.151,84.576,1.0017002459326525,0.9967603102535001,1.009795040274579,0.9837255802324213,-0.7137490608565037,-1
2016-06-01 06:00,117613.0,84.55,84.860,83.299,83.757,1.0093914538486335,1.005564908007689,1.0191013390961892,0.992028476919189,-0.9379065641632078,-1
2016-06-02 06:00,110997.0,83.772,83.804,82.676,83.136,1.0134719014626636,1.0120669745958433,1.0277749611377898,0.9963589880538968,-0.7592035524996537,-1
2016-06-03 06:00,127078.0,83.103,83.374,82.244,82.345,1.0175894104074321,1.0198008379379444,1.0403954720740278,0.9992062038018609,-0.9121211027279348,-1
2016-06-06 06:00,116457.0,82.335,84.060,82.131,83.916,0.9955908289241622,1.001662376662377,1.0207151990032268,0.9826095543215271,1.9202040444525454,1
