,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bayes,Linear Discriminant Analysis,Quadratic Discriminant Analysis
USD_JPY,,,,,,,,,
EUR_JPY,,,,,,,,,
AUD_JPY,,,,,,,,,
GBP_JPY,,,,,,,,,
NZD_JPY,,,,,,,,,
CAD_JPY,[0.22222222 0.25      ],[0.52380952 0.        ],[0.52380952 0.        ],[0.52380952 0.        ],[0.66666667 0.58333333],[0.36363636 0.3       ],[0.66666667 0.66666667],[0.66666667 0.66666667],[0.53333333 0.5       ]
CHF_JPY,[0.58333333 0.44444444],[0.57142857 0.        ],[0.57142857 0.        ],[0.58823529 0.5       ],[0.625 0.6  ],[0.55 0.  ],[0.5625 0.4   ],[0.5        0.28571429],[0.33333333 0.38888889]
ZAR_JPY,[0.2        0.63636364],[0.         0.71428571],[0.22222222 0.33333333],[0.30769231 0.75      ],[0.18181818 0.6       ],[0.         0.71428571],[0.         0.71428571],[0.         0.71428571],[0.22222222 0.33333333]
Average,,,,,,,,,
