Datetime,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume,Open,High,Low,Close,Rate
2019-01-14 07:00,14908,108.555,108.569,107.986,108.16,-363.8708488784581,19687,124.395,124.434,123.772,124.043,-282.9695727320147,18492,78.318,78.318,77.566,77.837,-614.1627722873344,55163,139.54,140.062,138.606,139.172,-263.72366346566935,72160,74.106,74.153,73.478,73.781,-438.560980217511,71552,81.86,81.860,81.292,81.422,-535.0598582946523,96250,110.229,110.484,109.848,110.26,28.123270645661226
2019-01-15 07:00,25944,108.16,108.768,108.140,108.7,499.26035502959155,30727,124.058,124.856,123.399,124.051,-5.64252204614374,27054,77.843,78.520,77.786,78.288,571.6634764847105,88577,139.156,140.437,137.374,139.792,457.04101871280847,99678,73.814,74.459,73.696,74.088,371.20329476793154,107070,81.428,82.072,81.415,81.94,628.7763422901219,141400,110.259,110.839,109.617,110.026,-211.32061781805032
2019-01-16 07:00,18823,108.692,109.197,108.373,109.089,365.2522724763603,22305,124.026,124.420,123.527,124.272,198.34550819990108,21012,78.3,78.378,77.910,78.2,-127.71392081736182,65898,139.778,140.708,138.996,140.504,519.3950407074068,82166,74.1,74.148,73.486,73.906,-261.80836707150934,84599,81.926,82.426,81.610,82.297,452.84769181944085,109439,110.024,110.245,109.686,110.148,112.70268305096636
2019-01-17 07:00,23753,109.096,109.403,108.686,109.258,148.4930703233775,25046,124.305,124.680,123.742,124.419,91.70990708337564,26142,78.196,78.980,77.761,78.589,502.583252340274,65059,140.57,142.218,139.520,141.875,928.36309312087,96499,73.934,74.220,73.210,73.892,-56.807422836586134,102591,82.305,82.574,81.612,82.29,-18.22489520685325,119362,110.154,110.235,109.486,109.9,-230.58627013089918
2019-01-18 07:00,22132,109.242,109.888,109.059,109.774,486.99218249390935,22054,124.404,124.974,124.234,124.734,265.26478248287697,24500,78.58,79.107,78.392,78.648,86.53601425298784,57108,141.864,142.086,141.094,141.317,-385.5805560254871,89128,73.914,74.387,73.686,74.014,135.29236680465718,95772,82.272,82.895,82.114,82.785,623.541423570584,110336,109.877,110.373,109.713,110.285,371.3242989888705
2019-01-21 07:00,10948,109.734,109.767,109.478,109.67,-58.3228534455984,13584,124.534,124.830,124.515,124.713,143.73584723849535,15288,78.63,78.716,78.284,78.508,-155.15706473356212,37560,141.272,141.536,140.690,141.394,86.35823093041374,66953,74.096,74.136,73.580,73.81,-385.9857482185291,77608,82.718,82.764,82.359,82.489,-276.84421770352185,73842,110.335,110.338,109.780,109.964,-336.2486971495855
2019-01-22 07:00,16329,109.666,109.696,109.146,109.374,-266.26301679645616,18202,124.666,124.715,124.050,124.258,-327.27447740362345,19360,78.502,78.530,77.736,77.921,-740.1085322666797,49613,141.385,141.932,140.630,141.7,222.7959118718377,86334,73.826,73.883,73.336,73.88,73.1449624793461,82406,82.473,82.498,81.734,81.905,-688.7102445648853,117549,109.949,109.971,109.470,109.67,-253.7540132243098
2019-01-23 07:00,18121,109.37,110.000,109.326,109.614,223.0959129560206,19661,124.264,124.940,124.224,124.744,386.2743835704661,20206,77.905,78.419,77.838,78.277,477.50465310313825,54168,141.678,143.564,141.640,143.252,1110.969945933746,80602,73.838,74.616,73.739,74.394,752.999810395747,85388,81.902,82.436,81.854,82.155,308.90576542697386,131772,109.67,110.251,109.584,110.206,488.73894410504363
2019-01-24 07:00,19371,109.628,109.800,109.422,109.64,10.946108658372363,28232,124.755,124.901,123.792,123.91,-677.3275620215614,25331,78.282,78.540,77.640,77.762,-664.2650928693646,57945,143.242,143.553,142.717,143.232,-6.981192666948874,104797,74.404,74.584,74.084,74.136,-360.19568840385017,97322,82.14,82.256,81.948,82.12,-24.3486729973168,154121,110.175,110.446,109.905,110.051,-112.5482187429047
2019-01-25 07:00,19883,109.64,109.951,109.458,109.55,-82.08682962422783,24854,123.927,125.318,123.795,124.929,808.5405117528829,23805,77.768,78.836,77.512,78.664,1152.1448410657351,63554,143.252,144.844,143.096,144.578,925.6415268198654,93010,74.145,75.174,73.964,74.918,1042.5517566929805,92304,82.148,82.920,81.989,82.878,888.640015581638,163184,110.032,110.621,109.916,110.274,219.93601861277122
