Datetime,SMA2,RSI,BBANDS+σ,BBANDS-σ,MACD,class
2019-05-28 07:00,0.009616779501036746,37.6031990589496,1000.103755457257,999.6818286473773,-0.00029459262738552774,1.0
2019-05-28 08:00,-0.008706112384084357,39.13483799667066,1000.095167786126,999.6403953928333,-0.00024777789538781155,-1.0
2019-05-28 09:00,0.032835661796983696,35.580736250272096,1000.2068960174853,999.7520046651207,-0.0002561431043754309,-1.0
2019-05-28 10:00,0.26425916675766714,20.64849531101564,1001.1689504294212,1000.1686867096804,-0.0005465879270718559,-1.0
2019-05-28 11:00,0.13579583528341757,18.964290503043767,1001.4313334271326,1000.033481503606,-0.0007042417990642465,-1.0
2019-05-28 12:00,0.039305073799467176,19.764262518793004,1001.4640461070421,999.8236802511065,-0.0007305977208136196,1.0
2019-05-28 13:00,0.02204484133338578,19.393088258044873,1001.512310702072,999.6878109197914,-0.0007145506757083201,1.0
2019-05-28 14:00,-0.10589652578802915,34.18338338161992,1001.1145253395413,999.3020668292411,-0.0005354313210405281,-1.0
2019-05-28 15:00,0.02132481384785995,30.556485560562724,1001.1779997333178,999.415700251482,-0.0004943590419225156,1.0
2019-05-28 16:00,-0.07334801970730379,39.0929947325001,1000.7799339030736,999.2021878833174,-0.00035454435972680513,1.0
2019-05-28 17:00,-0.19123433356646116,51.7956552424589,1000.2519068152216,998.7152494693999,-7.574960726816437e-05,-1.0
2019-05-28 18:00,0.0017823165165544712,46.59448407337949,1000.3368455691322,998.9625413944607,-2.4713279652797513e-05,-1.0
2019-05-28 19:00,0.04528110456492993,43.26258382185068,1000.3564199394049,999.1448626045898,-5.349388774718598e-05,1.0
2019-05-28 20:00,-0.13083783737252774,52.84906856064111,1000.1155471700808,998.683766723572,0.00010927145618943378,-1.0
2019-05-28 21:00,0.09340730327774655,43.33362250627678,1000.538178556144,999.2026383175706,1.4114970923932654e-05,1.0
2019-05-28 22:00,-0.046310115701823806,48.05993134930059,1000.3440942855098,999.0947705774224,6.249287808982478e-05,-1.0
2019-05-28 23:00,0.5064517607639845,27.0549168452615,1002.1641898289029,1000.2610614217557,-0.000537231305004578,1.0
2019-05-29 00:00,0.09425725629159193,31.15354216917283,1002.026641099151,999.7824958476834,-0.000688828174945385,-1.0
2019-05-29 01:00,0.36575147524841817,23.42246377291144,1003.3487557794436,1000.1334302595686,-0.0011171302284777287,1.0
2019-05-29 02:00,-0.04522202826837748,31.529814276907253,1002.8591962497595,999.335772866702,-0.0010511263693819227,-1.0
2019-05-29 03:00,0.1700090782746507,27.361695010179403,1003.3266398521972,999.4857705805908,-0.0011862671123661498,1.0
2019-05-29 04:00,0.04472961243836678,27.95400899665443,1003.130475170005,999.1623632923594,-0.0011698444663247405,-1.0
2019-05-29 05:00,0.1642436105636413,24.65906309826988,1003.4202081252914,999.2589553305597,-0.0012782892452459771,1.0
2019-05-29 06:00,-0.10947391376797001,32.934276040685035,1002.4046092586443,998.7883298316048,-0.0010642314037917259,1.0
2019-05-29 07:00,-0.030519653501295204,32.763747301951206,1001.9384859344593,998.8693596613488,-0.0009198251975194506,1.0
2019-05-29 08:00,-0.09672882810008042,37.191834117514055,1000.7698349510015,999.1030206057471,-0.0007040947082922306,1.0
2019-05-29 09:00,-0.06208386522806283,38.728310516402196,1000.5564862843959,999.0531615033095,-0.0005352409282114743,-1.0
2019-05-29 10:00,0.06288144314936768,35.452705309600525,1000.4681558391118,999.4637840530659,-0.0005306462987543585,-1.0
2019-05-29 11:00,0.08366031575513563,33.09144185879919,1000.6552740281307,999.6367229265018,-0.0005749446729927036,1.0
2019-05-29 12:00,0.006987898379657676,34.46905616159453,1000.4499285786521,999.6127662230524,-0.0005396741312100651,-1.0
2019-05-29 13:00,0.02322876138325545,33.54915172308081,1000.51199885779,999.6707231629001,-0.0005202879962357137,1.0
2019-05-29 14:00,-0.054946896733509075,38.18058900145617,1000.339676613122,999.4919641727922,-0.00040989093729281443,-1.0
2019-05-29 15:00,0.26844852840555317,26.800652126895734,1001.3148462254733,1000.1801793190273,-0.0006789148911995728,-1.0
2019-05-29 16:00,0.19111530991524472,23.957904207903436,1001.7912829881673,1000.0968966130372,-0.000883939605981993,1.0
2019-05-29 17:00,0.027844947267236346,26.61675230047557,1001.7175129685105,999.7634638307142,-0.0008864809138875871,1.0
2019-05-29 18:00,-0.03553782741905503,30.010159118126822,1001.4785407835227,999.5164127404945,-0.0007878167667093037,1.0
2019-05-29 19:00,-0.032759152071172054,31.64902884452998,1001.2209888041776,999.4261385598088,-0.0006774566267937465,-1.0
2019-05-29 20:00,0.15346569672970878,25.469197108916063,1001.621929270288,999.7411160599361,-0.0007874307367354416,-1.0
2019-05-29 21:00,0.10497501383993342,23.761578539930785,1001.7126574089974,999.7080086178906,-0.0008588908780413158,-1.0
2019-05-29 22:00,0.19351648341450062,19.44468449688382,1002.1149949711763,999.8842153945673,-0.0010337274240674141,-1.0
2019-05-29 23:00,0.12434709885133559,18.052843671241327,1002.1577171024163,999.8041582565725,-0.001128397230314116,-1.0
2019-05-30 00:00,0.25697811597368425,13.997297096221583,1002.5955136445741,1000.0968493125343,-0.001367231847201802,-1.0
2019-05-30 01:00,0.13357681330060808,13.253313903754837,1002.7369867088125,999.82283221768,-0.0014587216726586806,1.0
