,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bayes,Linear Discriminant Analysis,Quadratic Discriminant Analysis
USD_JPY,0.3488372093023256,0.5116279069767442,0.5116279069767442,0.46511627906976744,0.4418604651162791,0.3953488372093023,0.4883720930232558,0.4883720930232558,0.5116279069767442
EUR_JPY,0.5116279069767442,0.5348837209302325,0.5348837209302325,0.4186046511627907,0.5116279069767442,0.5116279069767442,0.46511627906976744,0.4883720930232558,0.5348837209302325
AUD_JPY,0.5813953488372093,0.4418604651162791,0.4418604651162791,0.4186046511627907,0.3488372093023256,0.4186046511627907,0.4418604651162791,0.46511627906976744,0.6744186046511628
GBP_JPY,0.5581395348837209,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.5348837209302325,0.4883720930232558,0.4418604651162791,0.3953488372093023,0.46511627906976744
NZD_JPY,0.46511627906976744,0.5813953488372093,0.5813953488372093,0.32558139534883723,0.4418604651162791,0.5348837209302325,0.5116279069767442,0.5348837209302325,0.5813953488372093
CAD_JPY,0.5581395348837209,0.4883720930232558,0.5116279069767442,0.5116279069767442,0.5813953488372093,0.4186046511627907,0.5348837209302325,0.627906976744186,0.6046511627906976
CHF_JPY,0.4186046511627907,0.6046511627906976,0.3953488372093023,0.627906976744186,0.5581395348837209,0.5813953488372093,0.5348837209302325,0.46511627906976744,0.3953488372093023
ZAR_JPY,0.46511627906976744,0.6976744186046512,0.27906976744186046,0.627906976744186,0.5813953488372093,0.627906976744186,0.6976744186046512,0.6976744186046512,0.6511627906976745
Average,0.4883720930232558,0.5377906976744187,0.4622093023255814,0.47965116279069775,0.5,0.49709302325581395,0.5145348837209303,0.5203488372093024,0.5523255813953488
