,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bayes,Linear Discriminant Analysis,Quadratic Discriminant Analysis
USD_JPY,[0.375      0.31578947],[0.51162791 0.        ],[0.51162791 0.        ],[0.         0.47619048],[0.25       0.46153846],[0.42857143 0.33333333],[0.         0.48837209],[0.5        0.42857143],[0.51219512 0.5       ]
EUR_JPY,[0.54166667 0.47368421],[0.53488372 0.        ],[0.53488372 0.        ],[0.         0.43902439],[0.55       0.47826087],[0.55       0.47826087],[0.         0.46511628],[0.51219512 0.        ],[0.53658537 0.5       ]
AUD_JPY,[0.6875     0.51851852],[0.         0.44186047],[0.         0.44186047],[0.44444444 0.41176471],[0.375      0.33333333],[0.33333333 0.425     ],[0.         0.44186047],[1.         0.45238095],[0.85714286 0.5862069 ]
GBP_JPY,[0.5        0.60869565],[0.44186047 0.        ],[0.44186047 0.        ],[0.44186047 0.        ],[0.47826087 0.6       ],[0.46341463 1.        ],[0.44186047 0.        ],[0.40540541 0.33333333],[0.42307692 0.52941176]
NZD_JPY,[0.35294118 0.53846154],[0.         0.58139535],[0.         0.58139535],[0.21052632 0.41666667],[0.25       0.51612903],[0.375      0.57142857],[0.45454545 0.7       ],[0.375      0.57142857],[0.5        0.66666667]
CAD_JPY,[0.56       0.55555556],[0.         0.48837209],[0.51162791 0.        ],[0.51162791 0.        ],[0.58333333 0.57894737],[0.38461538 0.43333333],[0.525      0.66666667],[0.61538462 0.64705882],[0.56756757 0.83333333]
CHF_JPY,[0.52631579 0.33333333],[0.60465116 0.        ],[0.         0.39534884],[0.69230769 0.52941176],[0.61290323 0.41666667],[0.6        0.33333333],[0.65       0.43478261],[0.55172414 0.28571429],[0.5       0.3902439]
ZAR_JPY,[0.27272727 0.66666667],[0.         0.69767442],[0.28571429 0.        ],[0.    0.675],[0.         0.65789474],[0.33333333 0.70588235],[0.         0.69767442],[0.         0.69767442],[0.         0.68292683]
Average,,,,,,,,,
