,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bayes,Linear Discriminant Analysis,Quadratic Discriminant Analysis
USD_JPY,[0.47619048 0.43478261],[0.52272727 0.        ],[0.52272727 0.        ],[0.5 0. ],[0.53846154 0.6       ],[0.55555556 0.5       ],[0.69230769 0.5483871 ],[0.52380952 0.5       ],[0.5  0.25]
EUR_JPY,[0.5 0.4],[0.54545455 0.        ],[0.54545455 0.        ],[0.5    0.4375],[0.5        0.42857143],[0.59090909 0.5       ],[0.54545455 0.        ],[0.53488372 0.        ],[0.54545455 0.        ]
AUD_JPY,[0.6        0.45833333],[0.56818182 0.        ],[0.         0.43181818],[0.        0.4047619],[0.41666667 0.375     ],[0.59259259 0.47058824],[0.         0.43181818],[0.         0.43181818],[0.68181818 0.54545455]
GBP_JPY,[0.52631579 0.6       ],[0.45454545 0.        ],[0.45454545 0.        ],[0.43243243 0.42857143],[0.52       0.63157895],[0.5        0.83333333],[0.54545455 0.57575758],[0.36666667 0.35714286],[0.58333333 0.59375   ]
NZD_JPY,[0.28571429 0.47826087],[0.         0.59090909],[0.40909091 0.        ],[0.25 0.5 ],[0.34210526 0.16666667],[0.43243243 0.71428571],[0.43902439 1.        ],[0.44444444 0.61538462],[0.43589744 0.8       ]
CAD_JPY,[0.55172414 0.53333333],[0.52272727 0.        ],[0.52272727 0.        ],[0.5        0.47058824],[0.57142857 0.5       ],[0.33333333 0.46341463],[0.         0.47727273],[0.6        0.77777778],[0.55263158 0.66666667]
CHF_JPY,[0.52631579 0.36      ],[0.         0.40909091],[0.59090909 0.        ],[0.65714286 0.66666667],[0.65517241 0.53333333],[0.58333333 0.375     ],[0.58139535 0.        ],[0.57894737 0.33333333],[0.33333333 0.3902439 ]
ZAR_JPY,[0.25925926 0.58823529],[0.         0.68181818],[0.30232558 0.        ],[0.33333333 0.68965517],[0.23076923 0.64516129],[0.         0.66666667],[0.         0.68181818],[0.4        0.69230769],[0.25925926 0.58823529]
Average,,,,,,,,,
