,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bayes,Linear Discriminant Analysis,Quadratic Discriminant Analysis
USD_JPY,[0.47619048 0.45454545],[0.51162791 0.        ],[0.51162791 0.        ],[0.5 0. ],[0.54545455 0.52380952],[0.55555556 0.52      ],[0.69230769 0.56666667],[0.52380952 1.        ],[0.5        0.33333333]
EUR_JPY,[0.47826087 0.4       ],[0.53488372 0.        ],[0.53488372 0.        ],[0.5       0.4516129],[0.5  0.44],[0.57142857 0.5       ],[0.53488372 0.        ],[0.52380952 0.        ],[0.53488372 0.        ]
AUD_JPY,[0.6        0.47826087],[0.55813953 0.        ],[0.         0.44186047],[0.         0.41463415],[0.57142857 0.45454545],[0.59259259 0.5       ],[0.         0.44186047],[0.         0.44186047],[0.68181818 0.57142857]
GBP_JPY,[0.52631579 0.625     ],[0.44186047 0.        ],[0.44186047 0.        ],[0.41666667 0.42857143],[0.47619048 0.59090909],[0.48648649 0.83333333],[0.54545455 0.59375   ],[0.36666667 0.38461538],[0.58333333 0.61290323]
NZD_JPY,[0.28571429 0.45454545],[0.         0.58139535],[0.41860465 0.        ],[0.25       0.48148148],[0.18181818 0.5       ],[0.43243243 0.66666667],[0.43902439 1.        ],[0.44444444 0.6       ],[0.43589744 0.75      ]
CAD_JPY,[0.53571429 0.53333333],[0.51162791 0.        ],[0.51162791 0.        ],[0.5        0.48484848],[0.54545455 0.52380952],[0.33333333 0.475     ],[0.         0.48837209],[0.58823529 0.77777778],[0.55263158 0.8       ]
CHF_JPY,[0.55555556 0.36      ],[0.         0.39534884],[0.60465116 0.        ],[0.66666667 0.6       ],[0.66666667 0.5       ],[0.6   0.375],[0.5952381 0.       ],[0.57894737 0.2       ],[0.33333333 0.375     ]
ZAR_JPY,[0.23076923 0.58823529],[0.         0.69767442],[0.28571429 0.        ],[0.18181818 0.65625   ],[0.25       0.67741935],[0.         0.68292683],[0.         0.69767442],[0.4        0.71052632],[0.23076923 0.58823529]
Average,,,,,,,,,
