Datetime,SMA2,SMA3,SMA4,SMA5,SMA6,SMA7,SMA8,SMA9,SMA10,RSI,BBANDS+σ,BBANDS-σ,Rate
2007-03-27 06:00,4.604580650230413,4.604465977906452,4.604482360472126,4.60505230663747,4.604875461553302,4.603681641186797,4.601455224708233,4.598671590668377,4.596785840166597,81.04661431503575,101.36657406591915,96.9635668898296,1.1801150612185136
2007-03-28 06:00,4.610167846010342,4.611433908315157,4.612127917890777,4.612603180248233,4.613387402653199,4.61346939876663,4.612595794478396,4.610732565324221,4.608295412956072,63.55378797599677,102.23683781636616,98.38918529985986,-9.920927262904621
2007-03-29 06:00,4.600099655519202,4.601726995178576,4.602244230199529,4.6026036740993765,4.6028924486472205,4.6034992597098014,4.603536148508521,4.60273385173734,4.601027070564412,70.11746369524118,100.84711944055995,98.32597164709048,10.31899588232382
2007-03-30 06:00,4.603871468595097,4.600063624758577,4.600641876363344,4.60075256725913,4.600867344877622,4.600991477268488,4.601434890503955,4.601408261991167,4.600639416426491,71.49876550482458,100.34493753475518,98.75095824347974,2.6025042965872878
2007-04-01 06:00,4.605488684637165,4.604729020323232,4.601819811306481,4.6020582673905155,4.602020577085195,4.602028770750673,4.60207178639301,4.6024165274736895,4.602358100518424,70.45944813596466,100.3972228170809,99.04115013072602,0.6276909798845359
2007-04-02 06:00,4.605734250208268,4.606134624440956,4.605685213774188,4.603392529962829,4.603517036034299,4.603437466272638,4.6034085036480255,4.603418743055615,4.603707041735041,68.47236674673589,100.53866282768693,99.16892229644226,-1.1271747120804616
2007-04-03 06:00,4.6014621411461345,4.60059821020687,4.6003250201403185,4.599642126357607,4.597503130052908,4.597389784820151,4.597157503806414,4.597004081098938,4.596910788585104,73.23003956850859,100.0338731317263,98.3210504097172,7.457560592679866
2007-04-04 06:00,4.606663736180069,4.604688129552097,4.603980095124594,4.603682228682476,4.603051313217592,4.601158230056293,4.600975358018914,4.600702272254388,4.6005082870068,67.94435634517313,100.44641835018304,98.62337181042034,-2.980422713548236
2007-04-05 06:00,4.601304639853234,4.60100617112535,4.599005429924109,4.598027638970496,4.597481077824158,4.596720473506118,4.594889476312263,4.594563097360005,4.594184315271074,72.72933411654618,100.06303182873688,97.75181888859545,7.943564540240578
2007-04-06 06:00,4.60314070957274,4.599891426174435,4.5990062190275305,4.596996302962793,4.595840905083148,4.595105361503846,4.594230081825395,4.592430348802879,4.591976756828135,74.76027302985062,100.11690064363307,97.26174388233723,4.071345482745267
2007-04-07 06:00,4.605121917615933,4.603753344662682,4.601141423045421,4.60016492060148,4.598282926297942,4.5970963634946,4.5962846539008835,4.595365868865429,4.593624887547365,74.80919492319552,100.44931052236466,97.25490803154986,0.0
2007-04-08 06:00,4.604953054296868,4.604848492591291,4.603782143448048,4.601601322147367,4.600639263325575,4.598897842051021,4.597729536750021,4.596890181164785,4.595960151318734,75.05640931727969,100.44527931329499,97.7211702452519,0.8208594881700431
2007-04-09 06:00,4.605822147328147,4.605894561246133,4.605906629722669,4.605102550850646,4.603282737600543,4.6024044601299385,4.600823797590113,4.599716803300687,4.598893524063194,72.02346640655057,100.6885490545358,98.06004997928068,-1.3893713094825118
2007-04-10 06:00,4.603916509176029,4.603932591905591,4.603832070602026,4.603752450558482,4.6030235119042855,4.601403048561249,4.600556387993628,4.59907889691846,4.598006965988559,73.87405857578557,100.59202472164748,97.98045022052685,2.5120772946860397
2007-04-11 06:00,4.600324202418466,4.597870743661142,4.5969665844675385,4.596337037922391,4.5959010645246305,4.595011191826922,4.593382796111998,4.59244315187572,4.590955308287213,79.09325060043486,100.05734729279779,97.11978803786957,9.762914417887346
2007-04-12 06:00,4.603993527514374,4.600375493905545,4.597938328702325,4.59673247934782,4.595855690528893,4.5952152029490065,4.5942292913692215,4.592609349435096,4.591606899394326,80.01756229558674,100.12988321484167,97.17577285066979,2.376611848698545
2007-04-13 06:00,4.6061571716854015,4.605701149604124,4.603054662371272,4.600965313505999,4.599785835391324,4.598880779687815,4.598189440480033,4.597202703276368,4.595646190352413,75.34074578760335,100.54738339310612,97.55685940120385,-1.904526106291629
2007-04-15 06:00,4.604150881027657,4.604468532947357,4.604038884668612,4.601847429509022,4.599969128963318,4.598810137340871,4.59788606351013,4.59715608423775,4.596168285044913,76.49973640940108,100.41916763455896,97.78853133808629,-0.9892419933226089
2007-04-16 06:00,4.601425634520635,4.599496609061138,4.5990228830227755,4.598268577715958,4.596156733030346,4.594290753673268,4.593050410089684,4.592036759213165,4.59121551512917,79.90576192388276,100.10338341414257,97.1250654319896,7.579364323665443
2007-04-17 06:00,4.608279560044174,4.60681389962997,4.605571862577293,4.605219631814493,4.60459313729073,4.6027669451500834,4.601084848078051,4.599917988505246,4.598940462335648,67.03029728624624,100.85458509218755,97.90334307646505,-6.22743852885039
2007-04-18 06:00,4.604832785630858,4.606793817296307,4.605896873252461,4.6049516015589855,4.60464898918807,4.604097170589918,4.602477318552115,4.600939970825235,4.599837368501227,67.54252221640695,100.86836220253643,98.06791314573515,0.6751423979916696
2007-04-19 06:00,4.606827755456806,4.607154499455792,4.608874488709004,4.608402756638366,4.607749026495349,4.607563119070145,4.607129918063031,4.605720896948661,4.604344186610703,61.07203240554077,101.1585268249416,98.67634150829652,-3.36374002280501
2007-04-20 06:00,4.601793214461657,4.601767875714277,4.60158652656321,4.602722069728651,4.602227040896724,4.601582792891448,4.601345336676095,4.60089963581006,4.599578719656041,66.96621041769222,100.43479700813516,98.45003035601955,6.845919145690346
