Datetime,Volume,SMA5,SMA10,BBANDS+σ,BBANDS-σ,Rate
2012-08-04 06:00,1,99.85393458920697,99.81760942160136,100.16062756551139,99.47459127769133,0.0
2012-08-05 06:00,392,99.79694139799994,99.69490317819792,100.07232540446851,99.31748095192732,178.43941981697287
2012-08-06 06:00,7477,100.19783758914195,100.14799478567593,100.51883540548667,99.77715416586518,-441.51514765947144
2012-08-07 06:00,8130,99.83207175116085,99.7131225748998,100.12506225857737,99.30118289122221,462.66119652877444
2012-08-08 06:00,9520,100.04360353928143,99.92821990463318,100.33922793155475,99.51721187771165,-221.3515163851091
2012-08-09 06:00,10229,99.90199447605231,99.8086983084501,100.20318395980054,99.41421265709967,173.40082365390685
2012-08-10 06:00,8024,100.19726587453688,100.2062092755845,100.5425440597067,99.86987449146228,-381.8251240931618
2012-08-12 06:00,106,100.24440751629811,100.2313690400102,100.60153619762046,99.86120188239993,-51.10514884373583
2012-08-13 06:00,6200,100.05745732197806,100.12704452304035,100.47872375955573,99.77536528652499,120.16618728029187
2012-08-14 06:00,8448,99.60424710424712,99.63206157285101,100.05799753045272,99.20612561524932,528.5871147314949
2012-08-15 06:00,9478,99.38603709095514,99.37337806190263,99.96890270600996,98.7778534177953,325.12477933425646
2012-08-16 06:00,10998,99.21960072595284,99.03029844726758,99.90361217569777,98.1569847188374,444.34316964794243
2012-08-17 06:00,8077,99.28057915640242,98.92212558443516,100.01712224145945,97.82712892741088,281.0652752044958
2012-08-18 06:00,1,99.59353476446637,99.04265748328388,100.307226334304,97.77808863226375,0.0
2012-08-19 06:00,131,99.80367512128909,99.18692340564589,100.52774266708595,97.84610414420584,-2.513699663158387
2012-08-20 06:00,7515,100.08208795497755,99.46378435544585,100.82258377184561,98.10498493904608,-174.69773521352812
2012-08-21 06:00,8561,100.24645267074483,99.7699438733682,100.9941037645045,98.54578398223191,-176.26691847655093
2012-08-22 06:00,11312,100.89333435137824,100.70728665597719,101.80264436519921,99.61192894675517,-881.6740454838009
2012-08-23 06:00,8985,100.73381404948157,100.84248477590643,101.85951120950949,99.82545834230335,-114.52713020462616
2012-08-24 06:00,8163,100.27964205816562,100.60618771608705,101.63901683935197,99.57335859282212,230.5996865882679
2012-08-26 06:00,77,100.05616050214101,100.52945885163207,101.61273665787769,99.44618104538647,39.40410819606202
2012-08-27 06:00,4720,99.86665650716252,100.40091943513157,101.4998490195271,99.301989850736,45.73867967678173
2012-08-28 06:00,6962,100.14801039384528,100.56822234676721,101.65221118250403,99.4842335110304,-306.0356321985037
2012-08-29 06:00,6376,99.9499402840953,100.20621045409499,101.16597309770951,99.24644781048045,249.64972614953248
2012-08-30 06:00,5305,100.03891792895578,100.18797614051154,100.95787708352275,99.41807519750031,-97.83492579792411
2012-08-31 06:00,9881,100.26458468878774,100.36204982969113,100.95108834100427,99.773011318378,-301.4346764346698
2012-09-02 06:00,103,100.220574156572,100.30048122949668,100.63858786843092,99.96237459056245,-58.68320002041981
2012-09-03 06:00,4576,100.26297630913142,100.36545784456541,100.782465884314,99.94844980481682,-109.77228632696637
2012-09-04 06:00,6758,99.97271452250422,100.13719240086701,100.56109419703432,99.7132906046997,223.6278832023658
2012-09-05 06:00,7146,99.9612205327075,100.15001530768448,100.57049733511958,99.72953328024937,-45.90197378487449
2012-09-06 06:00,9192,99.48593746037389,99.57330526742918,100.05173343999125,99.09487709486712,603.4009873834326
2012-09-07 06:00,11799,100.2571771863896,100.30741110003325,100.79722297962859,99.81759922043793,-798.8435788192453
2012-09-09 06:00,52,100.2325819148393,100.25162296171344,100.76846953071015,99.73477639271674,23.00789937878759
2012-09-10 06:00,5671,100.15430994839309,100.15673700883958,100.636208536212,99.67726548146717,35.78000408915073
2012-09-11 06:00,8217,100.66044286706277,100.71316513643491,101.36381496746314,100.0625153054067,-665.5000191602702
2012-09-12 06:00,10534,100.28668678954476,100.52970265236655,101.26716414136882,99.79224116336431,110.58390875541477
2012-09-13 06:00,13078,100.56704090850441,100.89340560072269,101.84194093036778,99.94487027107756,-472.6553469136237
2012-09-14 06:00,14781,99.4425664902099,99.74615728043881,100.69671523526405,98.79559932561357,1165.2815774531455
2012-09-16 06:00,94,99.52058816021247,99.79781992699053,100.737612984517,98.85802686946407,-62.50398622360148
2012-09-17 06:00,10528,99.30223103115321,99.3789703714997,100.38720843026378,98.37073231273563,462.0529446302233
2012-09-18 06:00,9914,99.41304099577489,99.24035374874703,100.22760363823649,98.25310385925758,128.31588576074688
2012-09-19 06:00,19527,100.19035711096092,99.808367037089,100.80913008233256,98.80760399184545,-556.9793701946168
2012-09-20 06:00,12399,100.3235989520098,99.97840117579398,100.98078662182684,98.9760157297611,-174.78502717460697
2012-09-21 06:00,9406,100.37688056493714,100.06204584996416,101.06513863788938,99.05895306203895,-102.23903486350872
2012-09-22 06:00,3,100.23871661037774,100.11347354416127,101.0431490795327,99.18379800878986,0.0
2012-09-23 06:00,106,100.0716387360881,100.15120890367146,101.02129429333384,99.28112351400911,2.5585917510942315
2012-09-24 06:00,7441,100.3470777135518,100.60912010276171,101.28806310895774,99.93017709656567,-404.2678402374466
2012-09-25 06:00,8681,100.30026864789141,100.60079437510443,101.38713711388696,99.81445163632192,-64.2285508754315
2012-09-26 06:00,8175,100.25853752652911,100.5907775419641,101.46792368621233,99.7136313977159,-69.40963251455936
2012-09-27 06:00,7271,100.29431093357395,100.63011403904387,101.50269347060394,99.7575346074838,-177.50794283728573
2012-09-28 06:00,10706,99.82571644913317,100.10985767271143,100.7280825014525,99.49163284397032,407.20075254822945
