Datetime,Volume,SMA5,SMA10,BBANDS+σ,BBANDS-σ,Rate
2015-05-04 06:00,92441,100.5768381053376,100.65239483916577,101.82821804135287,99.47657163697869,19.887305270136647
2015-05-05 06:00,139947,100.24881608142269,100.45237280464517,101.5612879547439,99.34345765454641,79.54306925771151
2015-05-06 06:00,154656,100.97561520253674,101.33960073243715,102.60114734203059,100.07805412284372,-1134.7580360296781
2015-05-07 06:00,153803,100.99078702562151,101.55219564681357,103.18746812441655,99.91692316921058,-372.9510027245558
2015-05-08 06:00,150761,100.21284420027416,100.89060253852927,102.61727160030496,99.16393347675356,623.4511835480623
2015-05-11 06:00,110791,101.54593759934605,102.4613969753395,104.84148932981898,100.08130462085998,-1526.1457273510014
2015-05-12 06:00,125307,100.81197452806674,101.85657307317516,104.27493278763433,99.43821335871597,152.06536541080382
2015-05-13 06:00,147223,99.68801166311542,100.55489514410674,102.67976326234745,98.43002702586604,1037.9132957146383
2015-05-14 06:00,133078,99.51405676425824,100.1789551437013,102.09924364195658,98.25866664544606,186.1278676025349
2015-05-15 06:00,125530,99.56858084624531,100.19575307756125,101.93441694890689,98.45708920621561,-183.5314129680627
2015-05-18 06:00,101632,100.30998657627276,100.59978115940393,102.16818925476969,99.03137306403816,-273.36543220986704
2015-05-19 06:00,130861,100.41270844145593,100.39623620732449,101.5830297414529,99.2094426731961,-65.39484959183775
2015-05-20 06:00,136966,100.25101771558099,100.24549216838257,101.36106330946416,99.129921027301,48.513019540600176
2015-05-21 06:00,119804,99.89472026634878,99.9539963557015,101.04008646780345,98.86790624359956,260.5018325345461
2015-05-22 06:00,125104,99.89283623756143,99.93133414381556,100.8004830131555,99.06218527447564,-102.33112552993825
2015-05-25 06:00,65835,99.91514551306585,99.99459812284766,100.68743976064735,99.301756485048,12.380834468254292
2015-05-26 06:00,140237,99.85502523010538,99.93807666805272,100.46615348133541,99.40999985477002,138.42310202794397
2015-05-27 06:00,143651,99.19222289035883,99.0947863076546,99.87269001639291,98.3168825989163,912.4620743903944
2015-05-28 06:00,163613,100.14321043165472,99.98864658273382,100.72535543762429,99.25193772784336,-954.1623523386435
2015-05-29 06:00,140411,100.81700642500205,100.68714659656202,101.54000641293288,99.83428678019115,-711.0631068507387
2015-06-01 06:00,119936,100.47199240471998,100.40926352909266,101.28897826010457,99.52954879808074,600.3547550825555
2015-06-02 06:00,158954,99.7610446723059,99.72009692835829,100.59984965008772,98.84034420662883,736.8397260583607
2015-06-03 06:00,143174,99.85573785249706,100.04636193819911,100.91524875708349,99.17747511931474,-336.45111365318303
2015-06-04 06:00,139117,100.01105221608215,100.2408931995038,101.12638498042656,99.35540141858102,-207.08127940216252
2015-06-05 06:00,132226,100.24719253451437,100.38118263777483,101.3032208806924,99.45914439485726,-198.44401849137662
2015-06-08 06:00,115524,99.87496626787808,99.9136457677431,100.83309967674367,98.99419185874254,497.19761345146895
2015-06-09 06:00,137050,100.04645132194605,100.15288347708444,101.07592341291087,99.229843541258,-246.30541871922117
2015-06-10 06:00,183956,100.33941287685818,100.40111401691408,101.02805137193323,99.7741766618949,-413.7728871651534
2015-06-11 06:00,156852,101.91385127328194,102.18849655682396,103.76730620688275,100.60968690676519,63.58896095638586
2015-06-12 06:00,120544,101.77796336894369,102.35155606593128,104.57586808813149,100.12724404373105,-392.83197190096405
2015-06-15 06:00,104865,100.99547301756382,101.91823644510312,104.47381467050573,99.36265821970049,275.1526690969823
2015-06-16 06:00,89824,100.59075938210333,101.74977965394072,104.42871095594111,99.07084835194034,-238.33213781614074
2015-06-17 06:00,120080,100.08115753837599,101.41840189213005,104.12119241117996,98.71561137308015,51.039346696358734
2015-06-18 06:00,125296,101.03470950166742,102.30238128786813,105.29811486782894,99.3066477079073,-1229.3560957506058
2015-06-19 06:00,91253,101.15666800349152,102.32749062256718,105.53226716997088,99.12271407516349,-471.94177036863226
2015-06-22 06:00,87535,100.87626065802222,101.94548761189448,104.94854625180498,98.94242897198396,-287.32248416193664
2015-06-23 06:00,88321,100.24577139023276,101.17070988853185,103.64271475711988,98.69870501994382,341.33320735105025
2015-06-24 06:00,97112,99.59146841673507,100.3770069143326,102.01122732443699,98.74278650422819,449.6868672599767
2015-06-25 06:00,94586,99.57069583343096,100.16663934234256,101.64629625337518,98.68698243130994,75.00292980195378
2015-06-26 06:00,85592,100.3226034832681,100.75754000094399,102.23951360779047,99.27556639409751,-828.4965362291687
2015-06-29 06:00,153663,101.09796915014,101.42147579060212,103.01180569754716,99.83114588365709,50.05183940510003
2015-06-30 06:00,128979,101.92189800400651,102.34861101054717,104.42062065071052,100.27660137038383,-1288.8931243150448
2015-07-01 06:00,114063,101.2428874529849,101.84468126145244,103.95601790062636,99.73334462227851,91.70326753220884
2015-07-02 06:00,106040,100.87836367592664,101.83264427842657,104.21452413032448,99.45076442652866,-268.85285430104165
2015-07-03 06:00,93741,100.94629467328858,102.2195442594216,105.003394680006,99.43569383883718,-689.0549067962492
2015-07-06 06:00,110111,100.68610467244116,102.1161400512383,105.18989815426778,99.04238194820881,775.7656228869303
2015-07-07 06:00,121560,100.93351984097774,102.28312351223346,105.57324685802052,98.9930001664464,-552.7693377749981
2015-07-08 06:00,158110,100.84951306895834,102.12378267239576,105.33080790728675,98.9167574375048,-339.87730061349816
2015-07-09 06:00,124994,99.92443879297701,100.97740499828829,103.54506149427938,98.40974850229723,700.5749886110426
2015-07-10 06:00,121750,99.11381975912961,99.79644752465651,101.65301379353302,97.93988125578001,892.3769008850471
