,Nearest Neighbors,Linear SVM,RBF SVM,Decision Tree,Random Forest,AdaBoost,Naive Bayes,Linear Discriminant Analysis,Quadratic Discriminant Analysis
USD_JPY,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
EUR_JPY,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
AUD_JPY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBP_JPY,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
NZD_JPY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAD_JPY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHF_JPY,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
ZAR_JPY,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
