Datetime,Volume,Open,High,Low,Close,SMA5,SMA10,BBANDS+2σ,BBANDS-2σ,Rate
2020-11-09 21:00,27354,80.2,80.978,80.094,80.962,98.80907092216103,98.5186877794521,0.9921726824423341,0.9721636728848569,0.9501246882793022
2020-11-09 22:00,21039,80.962,81.129,80.892,81.036,99.09200849005383,98.62271089392371,0.9951430560128518,0.9695911361980182,0.09140090412786006
2020-11-09 23:00,16202,81.035,81.295,80.954,81.286,99.19469527347884,98.53763255665184,0.9960078821399736,0.9651810064755326,0.3097427037699818
2020-11-10 00:00,19498,81.287,81.331,81.174,81.292,99.58593711558336,98.7407124932343,0.9991146786330448,0.9644586127117374,0.006151045062550533
2020-11-10 01:00,15115,81.292,81.426,81.244,81.34,99.80722891566268,98.90447504302928,1.0012928821409959,0.9637526059337521,0.059046400629830506
2020-11-10 02:00,8956,81.34,81.400,81.258,81.296,99.94341665026573,99.17326805746902,1.004009108095972,0.9647298212486454,-0.05409392672731366
2020-11-10 03:00,6955,81.298,81.324,81.193,81.208,100.09407940104427,99.4881046202345,1.0066887604719044,0.9667141062407353,-0.11070383035253438
2020-11-10 04:00,6035,81.208,81.233,81.122,81.204,100.07881385153445,99.68683808679378,1.0081191414345083,0.9677428850666497,-0.004925623091327072
2020-11-10 05:00,8012,81.204,81.225,80.958,80.968,100.2904851299279,100.13746171326945,1.0117861638114707,0.9718505815694208,-0.29062607753311415
2020-11-10 06:00,3487,80.968,81.026,80.898,81.008,100.15899664230696,100.1876357890579,1.0119223762740808,0.972727287956613,0.04940223298092091
2020-11-10 07:00,2155,80.984,81.032,80.920,80.926,100.16904332353016,100.28470454489289,1.0133216148276707,0.9751505696371492,-0.0716190852513987
2020-11-10 08:00,4215,80.928,80.994,80.800,80.828,100.19646657099027,100.38056119166627,1.014618568448651,0.9779520753876434,-0.12356662712533896
2020-11-10 09:00,8751,80.827,80.946,80.720,80.779,100.15201970809247,100.37868753017496,1.0151200251484227,0.9802277756413869,-0.059386096230222354
2020-11-10 10:00,7084,80.78,80.838,80.651,80.658,100.22539611693819,100.45066825361404,1.016340156848602,0.9833350148640616,-0.15102748205001224
