Datetime,Volume,Open,Close,Rate,class
2020-07-13 06:00,113561.0,74.359,74.459,0.0013448271224735207,1
2020-07-14 06:00,151102.0,74.465,74.806,0.004579332572349345,1
2020-07-15 06:00,114809.0,74.776,74.942,0.002219963624692372,1
2020-07-16 06:00,109266.0,74.932,74.792,-0.0018683606469866087,-1
2020-07-17 06:00,75915.0,74.78,74.87,0.0012035303557101284,1
2020-07-20 06:00,87530.0,74.878,75.268,0.005208472448516261,1
2020-07-21 06:00,101032.0,75.24,76.136,0.01190855927698034,1
2020-07-22 06:00,118713.0,76.128,76.514,0.0050704077343421035,1
2020-07-23 06:00,117467.0,76.554,75.856,-0.009117746949865552,-1
2020-07-24 06:00,148829.0,75.854,75.42,-0.005721517652332079,-1
2020-07-27 06:00,133788.0,75.23,75.34,0.0014621826399042858,1
2020-07-28 06:00,132563.0,75.35,75.227,-0.0016323822163236956,-1
2020-07-29 06:00,128230.0,75.215,75.414,0.002645748853287217,1
2020-07-30 06:00,121958.0,75.392,75.35,-0.0005570882852292232,-1
2020-07-31 06:00,176269.0,75.341,75.618,0.003676616981457653,1
2020-08-03 06:00,151939.0,75.611,75.473,-0.0018251312639695973,-1
2020-08-04 06:00,111174.0,75.505,75.706,0.002662075359247833,1
2020-08-05 06:00,114373.0,75.726,75.936,0.0027731558513589515,1
2020-08-06 06:00,127854.0,75.969,76.373,0.005317958641024768,1
2020-08-07 06:00,128504.0,76.359,75.817,-0.007098050000654823,-1
2020-08-10 06:00,88970.0,75.841,75.748,-0.0012262496538810053,-1
2020-08-11 06:00,117497.0,75.746,76.069,0.0042642515776411625,1
2020-08-12 06:00,129648.0,76.061,76.556,0.006507934421056656,1
2020-08-13 06:00,107807.0,76.533,76.441,-0.001202095827943485,-1
2020-08-14 06:00,86483.0,76.443,76.444,1.308164253109866e-05,1
2020-08-17 06:00,77931.0,76.399,76.478,0.001034044948232222,1
2020-08-18 06:00,100166.0,76.488,76.341,-0.0019218700972702329,-1
2020-08-19 06:00,112103.0,76.34,76.229,-0.0014540214828399818,-1
2020-08-20 06:00,115116.0,76.235,76.104,-0.001718370827047947,-1
2020-08-21 06:00,103882.0,76.092,75.772,-0.004205435525416511,-1
2020-08-24 06:00,81361.0,75.826,75.907,0.0010682351699945016,1
2020-08-25 06:00,87459.0,75.952,76.547,0.007833895091636808,1
2020-08-26 06:00,88405.0,76.558,76.67,0.0014629431280858273,1
2020-08-27 06:00,151055.0,76.683,77.36,0.008828553916774154,1
2020-08-28 06:00,154787.0,77.406,77.614,0.0026871301966255637,1
2020-08-31 06:00,120769.0,77.629,78.111,0.0062090198250653655,1
2020-09-01 06:00,139983.0,78.137,78.112,-0.0003199508555486605,-1
2020-09-02 06:00,112374.0,78.117,77.928,-0.00241944775144984,-1
2020-09-03 06:00,130563.0,77.89,77.238,-0.008370779304146887,-1
2020-09-04 06:00,134154.0,77.211,77.36,0.0019297768452681732,1
2020-09-07 06:00,68730.0,77.446,77.332,-0.0014719933889420283,-1
2020-09-08 06:00,118360.0,77.34,76.492,-0.010964572019653465,-1
2020-09-09 06:00,112261.0,76.486,77.332,0.01106084773684059,1
2020-09-10 06:00,115592.0,77.332,77.026,-0.003956964775254712,-1
2020-09-11 06:00,97160.0,77.031,77.334,0.003933481325700007,1
2020-09-14 06:00,72756.0,77.268,77.072,-0.0025366257700470823,-1
2020-09-15 06:00,85208.0,77.088,76.997,-0.0011804690743046128,-1
2020-09-16 06:00,126697.0,77.0,76.676,-0.004207792207792183,-1
2020-09-17 06:00,121237.0,76.652,76.602,-0.0006522987006209513,-1
2020-09-18 06:00,88130.0,76.572,76.246,-0.004257430914694766,-1
2020-09-21 06:00,117786.0,76.274,75.602,-0.00881034166295195,-1
2020-09-22 06:00,115343.0,75.677,75.262,-0.005483832604358078,-1
2020-09-23 06:00,122087.0,75.228,74.531,-0.009265167224969274,-1
2020-09-24 06:00,126310.0,74.538,74.28,-0.003461321741930231,-1
2020-09-25 06:00,96701.0,74.394,74.23,-0.0022044788558217257,-1
2020-09-28 06:00,86845.0,74.203,74.619,0.005606242335215514,1
2020-09-29 06:00,90089.0,74.62,75.329,0.009501474135620329,1
2020-09-30 06:00,119245.0,75.334,75.582,0.0032920062654311524,1
2020-10-01 06:00,113877.0,75.523,75.812,0.0038266488354541197,1
2020-10-02 06:00,149509.0,75.809,75.426,-0.0050521705866057535,-1
2020-10-05 06:00,79878.0,75.506,75.953,0.005920059333033172,1
2020-10-06 06:00,113839.0,75.924,75.008,-0.012064696275222735,-1
2020-10-07 06:00,95445.0,75.014,75.635,0.00827845468845828,1
2020-10-08 06:00,78623.0,75.672,75.939,0.003528385664446505,1
2020-10-09 06:00,84583.0,75.999,76.474,0.006250082237924295,1
2020-10-12 06:00,71106.0,76.366,75.928,-0.0057355367571956415,-1
2020-10-13 06:00,106944.0,75.947,75.524,-0.005569673588160188,-1
2020-10-14 06:00,91654.0,75.524,75.32,-0.00270112811821418,-1
2020-10-15 06:00,147488.0,75.291,74.802,-0.006494800175319628,-1
2020-10-16 06:00,111078.0,74.802,74.625,-0.0023662468917944263,-1
2020-10-19 06:00,97152.0,74.626,74.587,-0.0005226060622303417,-1
